file_path,brightness_score,image_width,image_height,resolution_ratio,entropy_score,person_area_ratio,food_area_ratio,text_area_ratio,num_text_boxes,scene_max,scene_topk_avg,object_max,object_topk_avg,gap_max,gap_avg,file_name
data\images_raw\제파_6.jpg,164.07319727891158,560.0,420.0,1.4,6.91980504989624,0.0,0.054447278911564624,0.18066326530612245,13.0,0.21045181155204773,0.18440128862857819,0.20238755643367767,0.18639977276325226,0.008064255118370056,-0.0019984841346740723,제파_6
data\images_raw\제피로스_1.jpg,136.68419630904572,560.0,747.0,1.8666666666666667,7.729198455810547,0.0,0.0,0.0018024478867852362,2.0,0.23637588322162628,0.22022183239459991,0.20467287302017212,0.18124158680438995,0.03170301020145416,0.03898024559020996,제피로스_1
data\images_raw\제피로스_2.jpg,58.37453561853696,560.0,373.0,1.2433333333333334,6.317429542541504,0.01032171581769437,0.0,0.0,0.0,0.27108505368232727,0.2485775202512741,0.19276374578475952,0.189561665058136,0.07832130789756775,0.05901585519313812,제피로스_2
data\images_raw\제피로스_3.jpg,113.71250957487553,560.0,373.0,1.2433333333333334,7.817558288574219,0.0,0.0,0.0,0.0,0.2550400197505951,0.23009228706359863,0.19157078862190247,0.185307577252388,0.06346923112869263,0.04478470981121063,제피로스_3
data\images_raw\제피로스_4.jpg,120.2854250334672,560.0,747.0,1.8666666666666667,7.705603122711182,0.0,0.0,0.0,0.0,0.278846800327301,0.24101197719573975,0.18329092860221863,0.1755336970090866,0.0955558717250824,0.06547828018665314,제피로스_4
data\images_raw\제피로스_5.jpg,112.65292991191114,560.0,373.0,1.2433333333333334,7.720579624176025,0.09078418230563003,0.0,0.021193986978169283,3.0,0.2583146095275879,0.2219993621110916,0.21828657388687134,0.2016233652830124,0.04002803564071655,0.020375996828079224,제피로스_5
data\images_raw\제피로스_6.jpg,122.82235254691689,560.0,373.0,1.2433333333333334,7.842168807983398,0.0,0.0,0.04373803140559173,9.0,0.22582581639289856,0.2092757225036621,0.21505258977413177,0.2015770673751831,0.010773226618766785,0.007698655128479004,제피로스_6
data\images_raw\젠틀도넛카페성산_1.jpg,140.32727349847303,560.0,421.0,1.4033333333333333,7.839102268218994,0.0,0.0,0.05558194774346793,1.0,0.2451925277709961,0.23029278218746185,0.18796905875205994,0.1824956089258194,0.05722346901893616,0.047797173261642456,젠틀도넛카페성산_1
data\images_raw\젠틀도넛카페성산_2.jpg,107.63460448938612,560.0,996.0,1.8666666666666667,7.593338489532471,0.031330679862306365,0.0,0.03535212277682157,15.0,0.247732013463974,0.2338549643754959,0.22172412276268005,0.20449234545230865,0.026007890701293945,0.029362618923187256,젠틀도넛카페성산_2
data\images_raw\젠틀도넛카페성산_3.jpg,122.21042585680352,560.0,421.0,1.4033333333333333,7.837035655975342,0.0,0.017848659653885306,0.004343400067865626,2.0,0.24849307537078857,0.22383944690227509,0.2045288383960724,0.18760846555233002,0.043964236974716187,0.03623098134994507,젠틀도넛카페성산_3
